OTU	A1	A2	A3	B1	B2	B3
ASV0001	11780	12105	11346	1	3	5
ASV0002	529	381	291	32	13	24
ASV0003	0	0	0	28	8	3
ASV0004	0	0	0	0	1	0
ASV0005	0	0	0	1	3	0
ASV0006	0	0	0	10	0	1
ASV0007	0	0	0	2	0	1
ASV0008	0	1	0	0	0	0
ASV0009	9	7	3	0	0	0
ASV0010	2	0	0	0	0	0
ASV0011	0	1	0	0	0	0
ASV0012	105	119	147	1	0	0
ASV0013	6	13	4	0	0	0
ASV0014	0	0	0	0	1	1
ASV0015	1	0	0	0	0	0
ASV0016	1	1	0	0	0	0
ASV0017	1	0	0	1	1	0
ASV0018	0	0	0	0	2	5
ASV0019	0	0	0	0	0	2
ASV0020	0	0	0	0	1	0
ASV0021	0	0	0	6	21	5
ASV0022	0	0	10	157	68	87
ASV0023	0	0	2	14	9	5
ASV0024	0	0	0	0	0	2
ASV0025	0	0	0	1	0	0
ASV0026	0	0	0	3	1	2
ASV0027	0	0	0	3	0	5
ASV0028	0	0	0	2	7	0
ASV0029	0	0	0	0	2	1
ASV0030	0	0	0	2	14	40
ASV0031	0	0	0	0	1	0
ASV0032	0	0	0	1	2	2
ASV0033	2	2	0	1	7	0
ASV0034	68	55	102	0	0	0
ASV0035	0	0	0	0	0	1
ASV0036	0	0	0	0	0	1
ASV0037	1	0	0	0	0	0
ASV0038	0	0	0	0	0	1
ASV0039	0	1	0	0	0	0
ASV0040	0	0	0	0	2	5
ASV0041	0	0	0	5	0	4
ASV0042	0	0	0	0	1	0
ASV0043	0	0	0	11	84	10
ASV0044	0	0	0	0	1	0
ASV0045	0	0	0	5	1	3
ASV0046	0	0	0	0	1	1
ASV0047	0	0	0	0	4	0
ASV0048	0	0	0	0	0	1
ASV0049	0	0	1	0	0	1
ASV0050	0	0	0	0	0	2
ASV0051	39	61	19	0	0	0
ASV0052	0	0	0	1	0	0
ASV0053	0	0	0	1	0	0
ASV0054	0	0	1	4	0	2
ASV0055	0	0	0	1	0	0
ASV0056	0	0	0	3	0	0
ASV0057	0	0	0	1	0	0
ASV0058	0	0	0	1	0	0
ASV0059	0	0	0	1	0	0
ASV0060	0	0	0	1	0	0
ASV0061	0	0	0	5	0	0
ASV0062	35	2	3	20	8	1
ASV0063	0	0	0	1	0	0
ASV0064	0	1	0	0	0	0
ASV0065	1	3	0	0	0	0
ASV0066	0	1	0	0	0	0
ASV0067	10	11	8	0	0	0
ASV0068	0	0	0	17	3	9
ASV0069	0	0	0	0	0	1
ASV0070	168	135	132	10	6	5
ASV0071	1	0	0	0	0	1
ASV0072	0	0	0	1	0	8
ASV0073	0	0	0	0	0	1
ASV0074	0	0	1	0	0	0
ASV0075	1	0	1	0	0	0
ASV0076	0	0	0	0	1	1
ASV0077	0	0	0	1	0	0
ASV0078	0	0	0	7	5	0
ASV0079	0	0	0	6	116	76
ASV0080	0	0	0	7	4	0
ASV0081	0	0	0	3	2	3
ASV0082	0	0	0	1	0	0
ASV0083	0	0	0	1	0	0
ASV0084	1	0	0	0	0	0
ASV0085	1	0	0	0	0	0
ASV0086	3	1	1	0	0	0
ASV0087	0	0	0	0	0	1
ASV0088	0	0	0	0	1	3
ASV0089	115	103	143	0	0	0
ASV0090	0	0	0	0	0	1
ASV0091	1	0	0	0	1	0
ASV0092	0	0	0	0	0	1
ASV0093	0	0	0	0	0	1
ASV0094	0	0	0	0	4	0
ASV0095	0	0	0	0	3	0
ASV0096	0	0	0	1	3	0
ASV0097	0	0	0	0	1	0
ASV0098	4	0	33	369	316	287
ASV0099	316	374	162	0	0	0
ASV0100	0	0	0	4	0	0
ASV0101	0	0	0	2	0	1
ASV0102	0	0	0	2	0	0
ASV0103	0	0	0	3	0	1
ASV0104	0	0	0	0	0	16
ASV0105	0	0	0	1	0	2
ASV0106	0	0	0	37	66	18
ASV0107	0	0	0	5	0	2
ASV0108	0	0	0	0	0	1
ASV0109	0	0	0	0	0	1
ASV0110	6	2	12	0	0	0
ASV0111	0	0	3	0	0	0
ASV0112	0	0	0	1	0	0
ASV0113	0	0	0	1	0	1
ASV0114	0	0	0	1	0	0
ASV0115	0	0	0	1	0	1
ASV0116	82	67	21	3	30	54
ASV0117	0	0	0	0	0	1
ASV0118	0	0	0	0	3	1
ASV0119	0	1	0	0	0	0
ASV0120	0	0	0	0	0	1
ASV0121	0	0	0	0	1	3
ASV0122	5	5	6	1	0	0
ASV0123	0	0	0	3	0	0
ASV0124	189	173	170	88	33	109
ASV0125	0	0	0	0	0	2
ASV0126	0	0	0	0	0	1
ASV0127	0	0	0	2	0	2
ASV0128	0	0	0	0	0	1
ASV0129	0	0	0	1	0	1
ASV0130	0	0	0	1	0	0
