gene_id	MTLE1_FPKM	MTLE2_FPKM	CTRL3_FPKM
ENSG00000000003	3.28316	3.62301	0.808747
ENSG00000000005	0	0	0
ENSG00000000419	5.77471	5.19994	4.69166
ENSG00000000457	0.960667	0.731899	0.888817
ENSG00000000460	0.599142	0	0
ENSG00000000938	0.366742	0.212197	0
ENSG00000000971	0.631932	0.349457	0
ENSG00000001036	2.19734	2.37095	0.834951
ENSG00000001084	3.9861	8.54828	8.4003
ENSG00000001167	1.79218	1.45361	1.90564
ENSG00000001460	1.7232	0.426086	0.805934
ENSG00000001461	7.12185	8.9902	12.6054
ENSG00000001497	1.94633	7.09904	9.88721
ENSG00000001561	4.6629	5.10293	2.02531
ENSG00000001617	0.0896352	0.0896309	0.232336
ENSG00000001626	0.143481	1.74455	0.105823
ENSG00000001629	6.04864	5.5458	4.05261
ENSG00000001630	11.902	7.98112	3.22357
ENSG00000001631	8.03085	9.90373	8.28502
ENSG00000002016	0.877099	1.66592	1.1862
ENSG00000002079	0	0	0
ENSG00000002330	7.9651	12.5296	13.9596
ENSG00000002549	2.96879	8.58606	11.5884
ENSG00000002586	49.2937	7.85716	6.66896
ENSG00000002587	0.225345	0.21	1.49764
ENSG00000002726	0	0	0
ENSG00000002745	0	0	0.173225
ENSG00000002746	0.104645	0.260182	0.515897
ENSG00000002822	9.54472	9.65681	8.61967
ENSG00000002834	3.23213	2.70614	2.77862
ENSG00000002919	1.83427	0.58404	0.407134
ENSG00000002933	39.8137	5.62699	10.4124
ENSG00000003056	20.971	17.1173	6.37301
ENSG00000003096	1.51537	0.605818	0.226113
ENSG00000003137	0.0671873	0.440254	0.257174
ENSG00000003147	2.27489	3.71661	9.92578
ENSG00000003249	2.82433	4.14056	2.12011
ENSG00000003393	0.822125	0.82947	2.20151
ENSG00000003400	0.565524	0.439823	0.263341
ENSG00000003402	3.30356	1.29128	2.3407
ENSG00000003436	1.24766	0.158815	0
ENSG00000003509	3.75283	2.53315	4.06657
ENSG00000003756	2.94647	22.5807	2.02914
ENSG00000003987	0.600167	2.2653	0.697926
ENSG00000003989	2.42367	0.457794	0.591037
ENSG00000004059	21.9034	21.0687	12.8217
ENSG00000004139	0.275469	0.0545164	1.44948
ENSG00000004142	6.13554	18.0906	4.18456
ENSG00000004399	7.93379	3.10715	18.1027
ENSG00000004455	14.3187	8.12622	113.634
ENSG00000004468	2.50132	0.552518	0.613029
ENSG00000004478	2.71362	1.67362	1.98212
ENSG00000004487	3.18998	2.73889	1.3314
ENSG00000004534	16.9089	10.9067	37.8519
ENSG00000004660	1.5119	2.14864	3.36968
ENSG00000004700	2.42499	2.93589	1.32109
ENSG00000004766	12.2697	1.33919	6.07568
ENSG00000004776	27.3002	11.5671	29.6608
ENSG00000004777	6.35477	11.3148	1.71729
ENSG00000004779	17.1563	23.9417	11.809
ENSG00000004799	4.10006	5.41725	3.61296
ENSG00000004809	0	0	0
ENSG00000004838	1.02948	0.481517	1.62748
ENSG00000004846	0	0	0
ENSG00000004848	0.972753	1.83596	1.45193
ENSG00000004864	2.11772	2.57628	2.45192
ENSG00000004866	8.01626	6.2021	5.94943
ENSG00000004897	4.02231	27.505	7.09023
ENSG00000004939	0	0	0.273628
ENSG00000004948	0	0	0
ENSG00000004961	0.945498	1.09717	0.602266
ENSG00000004975	0.856204	1.82349	2.9885
ENSG00000005001	0	0	0.352533
ENSG00000005007	2.7836	1.85146	3.36574
ENSG00000005020	6.58363	2.34222	3.64408
ENSG00000005022	32.1595	40.765	43.3971
ENSG00000005059	8.89609	0.201553	0
ENSG00000005073	0	0	0
ENSG00000005075	20.819	6.73612	11.896
ENSG00000005100	1.3035	0.90581	1.01039
ENSG00000005102	0	0	0
ENSG00000005108	0.991156	0.242758	0.14977
ENSG00000005156	1.58969	1.15361	0.119366
ENSG00000005175	1.24209	2.69334	7.05173
ENSG00000005187	0	0	0
ENSG00000005189	0	0.789089	0.231612
ENSG00000005194	1.43199	2.38855	6.87124
ENSG00000005206	2.14843	5.1495	1.65246
ENSG00000005238	2.47987	9.01093	1.54504
ENSG00000005243	25.7219	8.01132	3.48988
ENSG00000005249	4.19953	3.79619	3.49209
ENSG00000005302	1.65221	2.97272	5.96062
ENSG00000005339	0.421417	1.03511	2.39693
ENSG00000005379	3.22256	7.70862	6.16959
ENSG00000005381	0.175885	0.171927	0
ENSG00000005421	1.23761	1.52967	0
ENSG00000005436	11.0307	2.39176	4.0088
ENSG00000005448	1.51348	2.49453	1.802
ENSG00000005469	0.699455	1.49465	0.557387
ENSG00000005471	1.14382	0.508779	0
ENSG00000005483	3.44133	19.2786	6.77307
ENSG00000005486	17.1102	9.87182	40.1405
ENSG00000005513	8.25045	12.0385	4.68527
ENSG00000005700	5.542	6.46606	2.42388
ENSG00000005801	4.36011	5.51311	2.52463
ENSG00000005810	5.62387	15.3259	12.3092
ENSG00000005812	4.21177	5.9039	4.4061
ENSG00000005844	0	0	0
ENSG00000005882	9.66264	14.1089	6.99529
ENSG00000005884	2.3071	1.74757	0.374939
ENSG00000005889	2.96005	2.4878	1.60167
ENSG00000005893	23.7717	29.3865	11.6561
ENSG00000005961	0.0685671	0.134153	0
ENSG00000005981	13.8284	6.15222	0.326842
ENSG00000006007	9.25487	12.4209	10.411
ENSG00000006015	14.3644	15.5836	18.3187
ENSG00000006016	28.9281	3.31346	10.6296
ENSG00000006025	1.14359	1.09001	1.60484
ENSG00000006042	5.08726	6.0711	3.51896
ENSG00000006047	0.740931	0	0
ENSG00000006059	0	0	0
ENSG00000006062	0.158805	0.0782009	0.434222
ENSG00000006071	7.20043	14.4249	24.2132
ENSG00000006116	1.5623	1.91671	0.134723
ENSG00000006118	20.1791	17.9521	7.30342
ENSG00000006125	8.45157	5.5126	10.7121
ENSG00000006128	9.22581	0.549633	0.854945
ENSG00000006194	0.314315	2.11366	1.49987
