DLPFC	ACC	PUT	GP-INT	GP-EXT	CAUN-H	CAUN-B	HIPP-CA2	CB	THAL	NACC	HIPP-DG
5.561302229	4.501879395	4.729213148	5.695463905	6.113338469	5.225657388	4.890327819	5.638951666	4.566449722	5.02417316	4.712369793	4.974175187
6.043301863	5.989209091	6.589129678	6.608767145	7.296981169	6.209848095	6.356338569	7.580563333	5.863929328	6.860515767	5.772225262	7.252478565
9.584774014	8.918505728	8.84719806	9.277840096	9.222971713	8.70613963	8.545608532	8.143407401	8.321289699	9.433804805	8.822124722	8.519993213
4.975883549	4.145480807	4.2929939	5.177064232	5.136136585	4.873451771	4.95836382	4.42589233	6.438561646	3.203148166	3.953913537	3.775675511
6.938929477	6.653285183	6.596380405	6.575035301	6.687121355	6.378778623	6.632200442	4.564261647	6.336719259	4.884563572	6.426878011	3.927195395
0.67448798	0.752865895	1.238469758	0.67448798	0.67448798	0.766098176	0.853823339	1.1207963	2.687496264	0.67448798	0.715769631	0.695378144
2.366283883	1.135635611	1.038923367	1.335188002	1.015704448	1.456418938	1.348099512	2.154468294	2.487583907	0.70192989	1.08289432	0.742449999
10.20053779	9.254694222	9.914737515	8.876209236	9.52033642	8.721979328	9.128252657	10.22809419	10.7221394	8.945418771	8.793878502	10.09472018
3.222225636	2.8417633	3.582801188	4.424327214	4.730507919	3.290184787	2.824986516	1.504662478	3.366268562	3.631133004	2.490937221	2.390109689
0.67448798	1.062510504	1.469945718	0.67448798	1.802971292	1.484455027	0.913182413	1.625263195	1.919596656	2.401783106	0.722314246	0.915933314
5.392402425	5.184340587	5.444436711	5.460010442	5.437436515	4.66865038	4.625032284	5.244629015	4.201975695	5.197220228	4.415764283	2.88531158
2.680323426	3.10167257	0.82498001	2.244039824	3.397923706	1.981660028	2.751106587	0.856177541	0.90872974	2.783172609	1.756516354	0.67448798
5.824570283	5.593740828	4.965678697	6.555488204	6.900445759	5.174845564	5.522612546	3.242377135	3.95330134	6.07973898	5.38772809	2.651283338
7.379228482	6.507401304	8.722325661	5.44967165	5.885153893	8.885211977	9.015517846	8.204068919	9.528061406	4.543117635	7.25739938	7.647490707
7.877134958	7.11640248	9.211851695	5.922357272	5.64490539	9.12146716	9.512503836	8.989307159	9.599947653	5.229625594	7.905618048	7.977203545
6.572605795	6.706951558	6.737296974	7.890043464	8.260578424	6.926884176	6.361154071	4.736999355	4.787944405	7.996101887	6.45649848	5.672976556
8.314591791	8.89367697	8.978092871	9.901264859	10.27648083	8.993852434	8.428238097	7.198084647	6.760624007	10.43430764	8.732351849	7.744452807
13.65776583	12.71496832	12.52981441	13.68427765	13.5956491	12.50099789	12.86112901	11.72013422	12.20843096	12.87319081	12.10504764	11.35883097
14.12743869	13.57660925	13.86135344	14.20264436	14.27659291	13.65776583	13.7054572	13.35070181	13.24636451	14.35593547	13.75909239	13.13127945
12.79752769	12.23307128	11.29344854	12.59114972	12.62962718	11.48886809	11.80164067	11.0439628	11.20923776	12.03280939	11.13209331	10.5455478
15.49928077	15.21512945	14.5253841	15.92033208	15.6822037	14.75912723	14.98595725	14.40045151	14.09323552	15.15321245	14.40045151	13.9189188
6.170535985	5.469043612	6.192553182	6.348027637	5.807247095	5.355693509	5.920280844	5.413842514	5.439973105	6.439942692	6.220090563	5.858118267
5.383056809	5.651896521	5.813173573	6.734518954	5.204040287	6.519274366	5.417477451	6.884539448	6.472951422	6.49667977	7.10464293	6.291999617
13.56916713	12.47628336	13.0584966	13.93481585	13.90433315	12.2571539	12.74755313	12.95160339	11.83642674	12.76836467	12.81056127	12.46163639
10.92315408	10.46831826	10.30726065	11.01077474	11.19154616	10.25796729	10.50644303	10.47655853	9.961263474	10.79211533	10.21146741	10.25511339
13.00383219	12.39913774	12.81281155	12.80038206	13.10246297	12.58353541	12.33300326	12.4542148	12.25875637	13.23895892	12.54002418	12.56333053
13.85370383	13.46545122	13.12323204	13.67916602	13.68282774	13.16495875	13.48346759	13.06440779	12.62414402	13.32315681	12.80038206	12.77828916
4.327212774	4.517659667	3.415286697	4.822341507	4.439097371	3.954525972	4.586304215	4.372120488	3.309572143	4.379448751	3.997399653	3.060703675
1.606040124	1.158660215	1.921909716	0.769650657	0.796365928	1.467801775	1.27971112	0.943369546	3.006410997	0.67448798	0.715970132	0.698599288
13.08480656	11.32999279	11.35793536	11.63493999	11.94954623	11.24343845	11.45468206	10.51945338	11.42028946	12.25917272	10.05200567	10.39546741
12.62937541	12.03406673	11.72209411	12.6320205	12.59080138	11.74919312	12.31037697	11.42766851	11.65698649	12.17968899	11.4851393	11.08505141
14.39046588	14.06000118	13.70841539	14.67703561	14.48794752	13.56916713	14.23522716	13.51698586	13.65955928	14.20264436	13.57690068	13.13250651
12.31037697	11.70349363	11.32067322	12.40672669	12.36086788	11.4851393	11.70340213	11.44742375	11.34199698	12.05659593	11.13524179	10.86135586
