Sample	分组	Class	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200	G201	G202	G203	G204	G205	G206	G207	G208	G209	G210	G211	G212	G213	G214	G215	G216	G217	G218	G219	G220	G221	G222	G223	G224	G225	G226	G227	G228	G229	G230	G231	G232	G233	G234	G235	G236	G237	G238	G239	G240	G241	G242	G243	G244	G245	G246	G247	G248	G249	G250	G251	G252	G253	G254	G255	G256	G257	G258	G259	G260	G261	G262	G263	G264	G265	G266	G267	G268	G269	G270	G271	G272	G273	G274	G275	G276	G277	G278	G279	G280	G281	G282	G283	G284	G285	G286	G287	G288	G289	G290	G291	G292	G293	G294	G295	G296	G297	G298	G299	G300	G301	G302	G303	G304	G305	G306	G307	G308	G309	G310	G311	G312	G313	G314	G315	G316	G317	G318	G319	G320	G321	G322	G323	G324	G325	G326	G327	G328	G329	G330	G331	G332	G333	G334	G335	G336	G337	G338	G339	G340	G341	G342	G343	G344	G345	G346	G347	G348	G349	G350	G351	G352	G353	G354	G355	G356	G357	G358	G359	G360	G361	G362	G363	G364	G365	G366	G367	G368	G369	G370	G371	G372	G373	G374	G375	G376	G377	G378	G379	G380	G381	G382	G383	G384	G385	G386	G387	G388	G389	G390	G391	G392	G393	G394	G395	G396	G397	G398	G399	G400	G401	G402	G403	G404	G405	G406	G407	G408	G409	G410	G411	G412	G413	G414	G415	G416	G417	G418	G419	G420	G421	G422	G423	G424	G425	G426	G427	G428	G429	G430	G431	G432	G433	G434	G435	G436	G437	G438	G439	G440	G441	G442	G443	G444	G445	G446	G447	G448	G449	G450	G451	G452	G453	G454	G455	G456	G457	G458	G459	G460	G461	G462	G463	G464	G465	G466	G467	G468	G469	G470	G471	G472	G473	G474	G475	G476
12667.X2036767	训练组	Control	3	0	0	14	113	2	0	27	0	0	2	0	0	0	44	0	7	6	10	0	50	0	17	0	189	2	0	0	3514	129	0	0	0	199	31	4	70	24	5	0	2	0	7	0	513	0	5	18	16	9	228	0	0	0	0	14	643	22	0	0	0	9	1463	0	133	0	0	0	4	3	121	0	282	0	0	0	0	0	0	165	1	0	11	1	2	0	0	0	0	5	716	0	0	425	17	0	8	3	0	24	13	0	0	4919	316	0	0	0	0	0	0	8	0	0	0	10	9	63	584	0	0	0	0	0	0	126	0	0	0	9	1	0	0	0	4	16	0	0	0	0	0	61	0	0	41	0	36	14	0	1548	28	0	0	28	0	7	6	0	0	242	0	0	0	0	0	8	0	8	477	8	0	4	1	155	3	0	625	0	69	14	3	0	0	0	2	0	0	0	0	12	0	0	0	163	33	0	4	57	318	0	29	221	64	0	0	0	0	60	314	0	0	0	0	7	5	24	0	190	0	12	0	0	27	0	10	0	641	0	104	0	9	664	27	0	0	0	7	36	12	4	58	0	13	12	90	0	0	12	0	0	6	1620	7	3	35	0	1579	0	16	0	0	0	278	517	68	0	0	0	223	0	12	0	0	342	0	0	16	0	13	1	0	9	0	30	4	0	9	1	29	1	39	1	6	0	0	1	48	22	47	411	0	0	44	0	0	0	376	0	33	88	49	0	8	42	0	48	0	30	75	14	7	15	3	0	0	0	0	0	2	0	41	0	46	0	6038	0	0	13	246	99	16	1581	6	790	0	145	14	0	6	26	217	24	696	33	39	722	0	0	0	6	9	354	3	6	1092	268	0	0	31	0	0	158	72	2	0	0	205	97	0	0	0	0	0	0	51	0	0	0	50	0	0	0	0	39	0	150	0	18	41	14	0	0	151	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
12667.X2036793	训练组	Control	0	0	0	0	62	0	0	51	0	10	0	2	0	2	34	0	0	0	0	0	11	0	0	0	157	20	0	0	2050	89	0	0	0	67	11	0	48	11	0	0	2	3	9	2	532	0	4	4	14	0	127	0	0	0	0	0	309	19	0	0	0	14	1048	1	187	0	0	0	0	4	106	0	162	0	8	0	0	0	0	144	0	0	4	0	2	0	0	0	0	0	461	0	0	232	1	0	0	0	0	8	16	0	0	2828	205	0	0	0	0	2	0	11	0	0	0	3	0	61	322	0	0	0	0	0	0	161	0	0	0	2	17	0	0	0	13	9	0	0	0	0	0	54	0	0	1	0	36	6	7	889	6	0	0	40	0	9	0	0	0	119	0	0	0	0	3	15	0	0	463	14	0	0	3	58	0	3	546	0	41	0	5	0	0	0	3	0	0	4	0	18	0	0	0	173	16	0	0	56	158	0	88	203	30	0	0	0	0	7	129	0	0	0	0	14	0	30	0	183	0	5	0	4	18	0	0	0	351	0	31	0	0	472	6	0	0	0	0	20	13	0	68	1	3	10	47	0	0	1	0	1	1	715	0	17	34	0	1300	0	6	0	0	4	226	346	44	0	0	0	67	0	2	0	14	295	0	0	31	1	39	2	0	0	0	20	0	0	0	0	0	18	31	0	6	0	0	18	51	3	3	243	0	0	42	0	0	0	288	0	22	65	21	0	0	9	0	8	0	5	35	6	21	0	0	0	0	0	0	0	0	0	16	1	7	0	4183	0	0	4	125	45	6	863	0	474	0	127	1	0	28	8	130	11	444	8	16	455	0	0	0	0	24	327	1	0	569	281	0	8	14	0	0	91	49	0	0	0	97	58	0	0	1	1	0	0	17	6	0	23	9	0	0	0	0	1	0	128	0	22	39	22	0	0	54	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
12667.X2041787	训练组	Control	0	0	0	0	33	0	10	18	0	0	4	0	0	0	20	0	1	0	0	0	28	6	0	0	141	21	0	0	3592	135	0	0	0	115	19	0	56	11	0	0	0	0	1	0	512	0	17	13	6	0	127	0	0	0	0	0	412	33	0	0	0	4	531	7	208	8	2	0	0	0	105	0	71	0	1	0	3	0	0	109	0	0	0	19	0	0	0	0	0	0	284	0	0	278	16	6	0	0	0	12	0	0	0	2598	133	0	0	0	0	0	0	51	0	0	0	0	0	83	256	0	0	0	0	34	0	224	0	0	0	0	20	0	5	0	9	0	0	0	0	0	0	46	0	0	13	0	4	1	0	1027	64	0	0	34	0	9	0	10	0	161	0	0	0	0	0	19	0	0	504	9	0	0	0	37	0	0	745	0	14	0	17	0	0	1	0	0	0	0	0	15	0	0	0	288	13	0	11	35	100	0	24	221	12	0	0	0	0	12	334	0	0	0	0	0	1	3	0	160	0	19	1	0	9	0	0	0	509	0	52	8	0	553	10	0	0	0	0	16	3	19	28	0	1	0	41	0	0	10	0	2	7	601	0	2	37	0	1955	0	0	0	0	0	335	287	33	0	0	0	70	0	9	0	0	463	0	0	10	0	42	6	1	0	0	5	8	0	0	8	3	20	8	0	1	9	0	0	57	0	120	183	0	1	12	0	0	0	393	0	12	67	25	0	0	0	7	44	0	28	36	0	13	0	0	0	0	0	0	0	4	0	21	0	17	0	6414	0	0	3	181	56	0	1535	0	619	0	90	1	0	0	8	76	28	795	13	40	760	0	0	0	23	11	320	1	4	1158	931	10	0	16	0	0	150	105	0	0	8	142	92	0	0	0	6	0	0	28	0	0	4	34	0	0	0	0	0	0	118	0	1	6	0	0	0	63	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
12667.X2043129	训练组	Control	0	0	0	0	35	8	0	17	0	9	0	12	0	0	27	2	0	0	0	0	11	0	2	0	88	20	0	0	2512	77	15	0	0	86	14	0	28	20	0	0	0	5	2	0	337	0	14	0	19	0	78	0	0	4	0	0	320	10	0	0	0	2	704	0	227	0	0	0	3	1	69	0	132	0	11	4	0	0	0	90	1	0	0	4	4	0	0	0	0	0	353	0	0	236	2	0	9	9	0	6	0	0	0	2292	192	0	0	3	0	0	0	8	0	0	11	4	6	27	235	0	0	0	19	9	0	73	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	16	0	0	0	3	25	3	0	919	28	0	1	12	0	0	0	0	0	114	0	0	0	0	0	12	0	0	293	3	0	0	1	64	7	0	553	0	39	5	4	2	0	2	0	0	0	0	0	0	0	0	5	131	22	0	12	26	125	0	48	193	62	0	0	0	0	21	234	0	0	0	0	2	0	11	0	54	0	21	2	0	16	0	8	0	429	0	54	0	0	376	10	0	0	0	0	28	17	2	21	0	2	9	34	1	0	0	0	0	0	514	0	1	34	0	1298	0	0	0	0	0	167	184	21	0	0	0	87	0	10	0	0	228	0	0	0	0	35	1	0	10	0	11	0	0	0	1	0	3	21	0	0	0	3	11	6	12	17	144	0	0	42	0	0	0	238	0	3	52	19	0	6	2	10	52	0	11	21	0	17	0	0	0	4	0	0	0	4	0	13	0	5	10	4070	0	0	3	136	38	12	828	1	598	0	47	8	0	0	0	126	0	307	10	12	384	0	0	0	1	5	230	0	0	742	1126	0	0	3	0	0	157	43	0	0	0	81	50	0	0	0	0	0	0	14	0	0	0	72	0	3	0	0	4	0	72	0	14	39	0	0	1	119	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2043400	训练组	Control	1	0	0	0	22	0	0	9	0	2	0	0	0	0	4	2	3	0	0	0	8	0	0	0	46	2	0	0	569	12	3	0	0	23	0	0	16	0	0	0	0	2	2	0	123	0	1	2	1	0	14	0	0	0	0	0	75	4	0	0	0	0	129	0	61	0	0	0	0	0	19	0	57	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	121	0	0	55	1	3	0	1	0	0	3	0	0	346	75	0	0	0	0	0	0	2	0	0	0	0	0	10	47	0	0	0	0	2	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	168	2	0	0	3	0	0	0	0	0	42	0	0	0	0	0	1	0	0	92	0	0	0	0	14	0	0	64	0	7	0	1	0	0	0	0	0	0	0	0	0	11	0	0	37	3	0	4	9	41	0	22	60	5	0	2	0	0	7	34	0	0	0	0	2	0	2	0	11	0	1	0	0	8	0	0	0	65	0	23	0	0	72	0	0	0	0	0	7	0	0	7	0	2	0	18	0	0	0	1	1	0	103	0	0	2	0	318	0	1	0	0	0	47	53	11	0	0	0	38	0	0	0	0	61	0	0	1	1	14	0	0	0	0	0	0	0	0	0	1	2	10	0	2	0	0	1	3	0	4	59	0	0	24	0	0	0	57	0	0	10	4	0	0	2	0	10	0	6	10	2	1	1	0	0	3	0	0	0	0	0	1	1	4	3	928	0	0	0	29	14	4	224	0	116	0	6	0	0	3	0	27	0	58	0	12	82	0	0	0	6	0	38	0	0	152	624	0	0	4	0	0	28	13	0	0	0	20	9	0	0	1	3	0	0	0	0	0	0	22	0	0	0	0	1	0	13	0	0	0	0	0	0	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12667.X2044156	训练组	Control	0	0	0	2	7	0	2	7	0	2	0	1	0	0	4	0	0	0	0	0	2	0	0	0	35	3	0	0	522	18	2	0	0	28	3	1	10	4	0	0	0	0	1	0	91	0	0	0	5	0	17	0	0	0	0	0	73	4	0	1	0	0	76	1	41	0	0	0	1	2	20	0	20	1	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	38	0	0	73	3	0	0	0	0	1	2	0	0	564	19	0	0	0	0	4	0	5	0	0	1	0	0	20	79	0	0	0	0	0	0	20	0	0	3	2	1	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	11	3	0	155	5	0	0	9	0	1	0	0	0	21	0	1	0	0	1	8	0	0	74	0	0	0	0	10	0	0	138	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1	13	16	0	13	25	5	0	0	0	0	6	56	0	0	0	0	2	0	2	0	13	0	5	0	1	0	0	0	0	112	1	4	0	0	107	0	0	0	0	0	5	3	0	8	0	2	0	26	0	0	1	0	0	0	207	0	0	3	0	328	0	3	0	0	0	39	79	1	0	0	0	14	0	1	0	0	53	0	0	0	0	12	0	0	0	0	3	0	0	0	0	2	3	1	1	2	0	0	0	9	2	6	23	0	2	5	0	0	0	43	0	0	28	3	0	4	1	0	5	0	3	3	0	4	0	0	0	0	0	0	0	0	0	0	0	2	2	935	0	0	0	35	7	2	224	0	120	0	20	0	0	3	2	26	2	83	1	6	136	0	0	0	1	4	52	0	0	105	41	0	0	4	0	0	24	6	0	0	0	19	7	0	0	0	0	0	0	14	0	0	3	8	0	0	2	0	0	0	23	0	0	1	0	4	0	34	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2047268	训练组	Control	0	0	0	0	62	0	0	5	0	0	0	0	0	0	29	2	1	1	4	0	29	0	2	0	74	18	0	0	1805	96	0	0	0	20	1	0	20	1	0	0	0	1	2	0	282	1	0	0	15	0	50	0	0	0	0	0	240	20	0	0	0	9	193	0	77	0	0	0	1	0	54	0	64	0	2	0	0	0	0	68	0	0	0	0	0	2	0	0	0	0	112	0	0	114	1	0	1	0	0	10	0	0	0	1601	70	0	0	0	0	0	0	27	0	0	0	0	0	7	142	0	0	0	0	0	0	46	0	0	0	1	5	0	10	3	2	8	1	6	0	2	0	17	0	0	12	0	7	1	0	432	25	2	0	8	0	3	3	6	0	38	0	0	0	0	6	12	0	0	170	6	0	3	0	36	0	0	338	0	17	0	0	0	0	0	4	0	0	0	0	6	0	0	9	77	0	0	2	18	53	0	48	177	9	0	0	4	4	7	187	0	0	0	0	10	0	1	0	54	0	17	2	0	3	0	3	0	307	0	8	0	0	333	1	0	0	0	0	19	1	6	31	0	10	0	14	0	0	0	0	0	0	493	0	4	24	0	814	0	2	0	8	0	148	197	5	0	0	0	94	0	2	0	0	215	0	0	0	16	7	0	0	0	1	16	0	0	0	2	9	2	3	0	14	1	0	0	10	6	11	89	0	6	11	0	0	0	138	0	10	67	7	0	0	2	0	25	0	8	9	2	22	6	0	0	0	0	0	1	7	0	5	0	22	0	2772	0	0	3	78	17	0	657	4	321	0	52	0	0	8	0	98	0	198	7	21	317	0	0	0	10	12	237	0	0	506	63	0	4	13	0	0	90	47	0	0	2	53	18	0	0	0	0	0	0	1	0	0	1	37	0	0	0	2	4	0	37	1	1	15	4	0	0	56	37	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2048152	训练组	Control	0	0	0	0	17	0	0	12	0	1	0	0	0	0	9	4	0	1	0	0	5	0	0	0	69	6	0	0	1036	124	1	0	0	24	0	0	14	6	1	0	0	0	0	5	124	0	0	0	5	0	58	0	0	0	0	0	71	1	0	0	0	0	55	0	49	0	0	0	0	2	13	0	49	0	2	0	0	0	0	32	0	0	0	0	0	2	0	0	0	0	74	0	4	93	1	0	0	0	0	0	0	0	0	401	88	0	0	0	0	0	0	13	0	0	0	0	0	11	64	0	0	0	0	0	0	43	0	0	0	0	0	0	2	0	0	6	0	0	0	0	5	4	0	0	0	0	7	1	0	267	2	0	9	13	0	4	0	3	3	37	0	0	0	0	0	7	0	0	134	0	0	0	0	27	0	0	170	0	0	0	2	0	4	0	0	0	0	1	0	7	0	0	0	54	6	0	2	4	29	0	12	81	4	0	0	0	0	0	53	0	0	0	0	0	1	0	0	59	0	2	0	3	7	0	0	0	122	0	9	4	1	176	2	0	0	0	0	0	1	0	24	2	0	0	24	0	0	4	0	3	2	159	0	0	3	0	561	0	0	0	0	0	84	121	3	0	0	0	25	0	0	0	0	82	0	0	2	0	11	0	0	0	0	9	0	0	4	0	0	13	4	0	0	0	0	1	1	0	16	25	0	0	12	0	0	0	70	0	0	5	2	0	1	5	0	9	0	3	4	0	3	0	1	0	0	0	0	0	4	0	4	0	3	1	1542	0	0	3	43	33	4	341	0	192	0	17	0	0	4	0	32	8	148	2	3	164	0	0	0	1	2	79	0	0	231	175	0	1	1	0	0	35	11	0	0	0	36	13	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	1	0	24	0	0	4	0	0	0	29	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12667.X2050079	训练组	Control	0	0	0	4	22	0	2	12	0	1	0	6	0	0	13	0	0	0	0	0	2	0	0	0	43	4	0	0	1061	195	0	0	0	32	3	0	14	6	0	0	0	0	1	2	183	0	2	4	4	0	16	0	0	0	0	0	104	3	0	0	0	2	182	0	54	0	0	0	0	0	54	0	49	0	0	0	0	0	0	80	0	0	1	0	0	0	3	4	0	2	107	0	0	102	0	2	0	0	0	3	0	0	0	1829	64	2	0	4	0	0	0	5	0	0	0	2	1	17	278	0	0	4	0	1	0	38	0	0	0	0	4	0	3	0	1	2	2	3	0	4	0	18	0	0	6	0	9	3	0	301	9	0	0	11	0	3	0	0	0	49	0	0	0	0	0	7	0	1	157	9	4	1	0	17	0	0	193	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	1	0	0	12	75	0	21	86	14	0	4	2	0	3	115	0	1	0	0	15	0	7	0	62	0	5	2	0	7	0	12	0	166	0	9	2	0	223	0	0	5	0	0	13	2	9	44	0	4	4	17	0	0	0	0	7	0	236	0	0	8	0	692	0	1	0	0	0	94	144	13	0	0	0	30	0	0	1	0	117	0	0	0	0	37	2	0	0	0	2	0	0	0	3	4	4	2	0	0	2	1	2	19	7	41	59	3	5	5	1	0	0	83	0	2	35	17	0	2	8	0	21	0	8	3	2	10	3	1	0	0	0	3	0	0	0	0	1	3	1	1717	1	0	5	80	15	6	475	0	256	0	35	3	0	0	0	103	6	142	0	12	254	0	0	0	3	5	175	2	1	256	64	0	0	21	0	0	74	15	0	0	0	37	25	0	1	0	0	0	0	4	0	0	0	13	0	0	1	0	1	0	34	0	0	13	0	0	1	71	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
12667.X2051123	训练组	Control	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	188	20	0	0	0	1	2	0	10	0	0	0	0	0	0	0	24	0	0	0	5	0	11	0	0	0	0	0	14	0	0	0	0	1	25	0	11	0	0	0	0	0	2	0	9	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	6	8	0	0	4	2	0	0	0	0	0	0	0	0	320	16	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	28	0	0	0	0	1	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	2	4	5	0	1	6	1	0	4	0	0	0	13	0	0	0	0	0	0	4	0	16	0	0	0	0	0	0	1	0	24	0	0	0	0	36	0	0	0	0	0	12	0	0	4	0	4	0	0	0	0	0	0	10	0	48	0	0	3	0	68	0	0	0	0	0	5	4	0	0	0	0	7	0	0	0	0	10	0	0	0	0	13	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	6	9	0	0	0	0	0	0	3	0	0	10	0	0	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	256	0	0	0	9	4	0	64	2	40	0	0	0	0	2	0	2	0	23	2	0	18	0	0	0	4	1	15	0	0	31	67	0	0	2	0	0	30	0	0	0	0	34	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
