#Gene	Transcript	Source
A1BG	NM_130786.4	MANE
A1CF	NM_014576.4	MANE
A2M	NM_000014.6	MANE
A2ML1	NM_144670.6	MANE
A3GALT2	NM_001080438.1	MANE
A4GALT	NM_017436.7	MANE
A4GNT	NM_016161.3	MANE
AAAS	NM_015665.6	MANE
AACS	NM_023928.5	MANE
AADAC	NM_001086.3	MANE
AADACL2	NM_207365.4	MANE
AADACL3	NM_001103170.3	MANE
AADACL4	NM_001013630.2	MANE
AADAT	NM_016228.4	MANE
AAGAB	NM_024666.5	MANE
AAK1	NM_014911.5	MANE
AAMDC	NM_024684.4	MANE
AAMP	NM_001087.5	MANE
AANAT	NM_001088.3	MANE
AAR2	NM_001271874.2	MANE
AARD	NM_001025357.3	MANE
AARS	NM_001605.3	HGMD
AARS1	NM_001605.3	MANE
AARS2	NM_020745.4	MANE
AARSD1	NM_001261434.2	MANE
AASDH	NM_181806.4	MANE
AASDHPPT	NM_015423.3	MANE
AASS	NM_005763.4	MANE
AATF	NM_012138.4	MANE
AATK	NM_001080395.3	MANE
ABAT	NM_020686.6	MANE
ABCA1	NM_005502.4	MANE
ABCA10	NM_001377321.1	MANE
ABCA12	NM_173076.3	MANE
ABCA13	NM_152701.5	MANE
ABCA2	NM_001606.5	MANE
ABCA3	NM_001089.3	MANE
ABCA4	NM_000350.3	MANE
ABCA5	NM_172232.4	MANE
ABCA6	NM_080284.3	MANE
ABCA7	NM_019112.4	MANE
ABCA8	NM_001288985.2	MANE
ABCA9	NM_080283.4	MANE
ABCB1	NM_001348946.2	MANE
ABCB10	NM_012089.3	MANE
ABCB11	NM_003742.4	MANE
ABCB4	NM_000443.4	MANE
ABCB5	NM_001163941.2	MANE
ABCB6	NM_005689.4	MANE
ABCB7	NM_001271696.3	MANE
ABCB8	NM_007188.5	MANE
ABCB9	NM_019625.4	MANE
ABCC1	NM_004996.4	MANE
ABCC10	NM_001198934.2	MANE
ABCC11	NM_001370497.1	MANE
ABCC12	NM_001393797.1	MANE
ABCC2	NM_000392.5	MANE
ABCC3	NM_003786.4	MANE
ABCC4	NM_005845.5	MANE
ABCC5	NM_005688.4	MANE
ABCC6	NM_001171.6	MANE
ABCC8	NM_000352.6	MANE
ABCC9	NM_020297.4	MANE
ABCD1	NM_000033.4	MANE
ABCD2	NM_005164.4	MANE
ABCD3	NM_002858.4	MANE
ABCD4	NM_005050.4	MANE
ABCE1	NM_002940.3	MANE
ABCF1	NM_001025091.2	MANE
ABCF2	NM_007189.3	MANE
ABCF3	NM_018358.3	MANE
ABCG1	NM_016818.3	MANE
ABCG2	NM_004827.3	MANE
ABCG4	NM_022169.5	MANE
ABCG5	NM_022436.3	MANE
ABCG8	NM_022437.3	MANE
ABHD1	NM_032604.4	MANE
ABHD10	NM_018394.4	MANE
ABHD11	NM_148912.4	MANE
ABHD12	NM_001042472.3	MANE
ABHD12B	NM_001206673.2	MANE
ABHD13	NM_032859.3	MANE
ABHD14A	NM_015407.5	MANE
ABHD14B	NM_001146314.2	MANE
ABHD15	NM_198147.3	MANE
ABHD16A	NM_021160.3	MANE
ABHD16B	NM_080622.4	MANE
ABHD17A	NM_001130111.2	MANE
ABHD17B	NM_001025780.3	MANE
ABHD17C	NM_021214.2	MANE
ABHD18	NM_001358451.3	MANE
ABHD2	NM_152924.5	MANE
ABHD3	NM_138340.5	MANE
ABHD4	NM_022060.3	MANE
ABHD5	NM_016006.6	MANE
ABHD6	NM_001320126.2	MANE
ABHD8	NM_024527.5	MANE
ABI1	NM_001012750.3	MANE
ABI2	NM_001375670.1	MANE
ABI3	NM_016428.3	MANE
ABI3BP	NM_001375547.2	MANE
ABITRAM	NM_017832.4	MANE
ABL1	NM_005157.6	MANE
ABL2	NM_007314.4	MANE
ABLIM1	NM_002313.7	MANE
ABLIM2	NM_001130083.2	MANE
ABLIM3	NM_014945.5	MANE
ABO	NM_020469.3	LRG
ABR	NM_021962.5	MANE
ABRA	NM_139166.5	MANE
ABRACL	NM_021243.3	MANE
ABRAXAS1	NM_139076.3	MANE
ABRAXAS2	NM_032182.4	MANE
ABT1	NM_013375.4	MANE
ABTB1	NM_172027.3	MANE
ABTB2	NM_145804.3	MANE
ABTB3	NM_001018072.2	refSeq
ACAA1	NM_001607.4	MANE
ACAA2	NM_006111.3	MANE
ACACA	NM_198834.3	MANE
ACACB	NM_001093.4	MANE
ACAD10	NM_025247.6	MANE
ACAD11	NM_032169.5	MANE
ACAD8	NM_014384.3	MANE
ACAD9	NM_014049.5	MANE
ACADL	NM_001608.4	MANE
ACADM	NM_000016.6	MANE
ACADS	NM_000017.4	MANE
ACADSB	NM_001609.4	MANE
ACADVL	NM_000018.4	MANE
ACAN	NM_001369268.1	MANE
ACAP1	NM_014716.4	MANE
ACAP2	NM_012287.6	MANE
ACAP3	NM_030649.3	MANE
ACAT1	NM_000019.4	MANE
ACAT2	NM_005891.3	MANE
ACBD3	NM_022735.4	MANE
ACBD4	NM_001135705.3	MANE
ACBD5	NM_145698.5	MANE
ACBD6	NM_032360.4	MANE
