ensembl_gene_id	MTLE1_FPKM	MTLE2_FPKM	CTRL3_FPKM	hgnc_symbol	chromosome_name	start_position	end_position
ENSG00000001497	1.94633	7.09904	9.88721	LAS1L	X	65512582	65534775
ENSG00000002586	49.2937	7.85716	6.66896	CD99	X	2691133	2741309
ENSG00000005022	32.1595	40.765	43.3971	SLC25A5	X	119468400	119471319
ENSG00000005302	1.65221	2.97272	5.96062	MSL3	X	11758159	11775772
ENSG00000005889	2.96005	2.4878	1.60167	ZFX	X	24149173	24216255
ENSG00000005893	23.7717	29.3865	11.6561	LAMP2	X	120427827	120469365
ENSG00000006757	6.43322	3.07812	7.49573	PNPLA4	X	7898247	7927739
ENSG00000008056	12.596	22.1319	6.69007	SYN1	X	47571898	47619943
ENSG00000010404	77.2695	107.349	85.1399	IDS	X	149476990	149521096
ENSG00000017483	5.16355	2.1199	2.84867	SLC38A5	X	48458537	48470256
ENSG00000018610	3.33045	2.60321	2.4832	CXorf56	X	119538149	119565408
ENSG00000022267	27.696	500.11	21.8674	FHL1	X	136146702	136211359
ENSG00000029993	2.82451	3.28393	6.21715	HMGB3	X	150980509	150990775
ENSG00000046647	1.34497	3.27012	1.469	GEMIN8	X	14008279	14029893
ENSG00000046651	18.7386	2.19983	11.4409	OFD1	X	13734745	13769353
ENSG00000046653	306.369	158.245	321.862	GPM6B	X	13771031	13938638
ENSG00000047644	1.43876	1.06065	1.01375	WWC3	X	10015562	10144478
ENSG00000049769	1.75632	4.994	3.84543	PPP1R3F	X	49269843	49301461
ENSG00000056998	7.01428	1.28881	1.20818	GYG2	X	2828788	2882820
ENSG00000063601	2.62941	3.38243	2.7557	MTMR1	X	150692971	150765103
ENSG00000067445	8.74629	2.16321	2.06138	TRO	X	54920462	54931431
ENSG00000067829	12.3561	6.33171	6.37448	IDH3G	X	153785766	153794523
ENSG00000067840	22.3832	23.0124	56.1404	PDZD4	X	153802166	153830565
ENSG00000068308	3.60806	13.4941	5.16246	OTUD5	X	48922028	48958386
ENSG00000068323	2.91333	3.02615	2.44894	TFE3	X	49028726	49043486
ENSG00000068366	3.53645	3.78616	1.74313	ACSL4	X	109624244	109733403
ENSG00000068400	6.8524	3.88262	9.82756	GRIPAP1	X	48973720	49002264
ENSG00000068438	2.47041	3.01419	3.42065	FTSJ1	X	48476021	48486364
ENSG00000069509	4.38944	1.69673	6.01451	FUNDC1	X	44523639	44543001
ENSG00000069535	38.5543	9.60094	9.27363	MAOB	X	43766611	43882447
ENSG00000071553	6.43572	7.00673	1.98954	ATP6AP1	X	154428632	154436516
ENSG00000071859	8.1313	7.88823	7.39141	FAM50A	X	154444126	154450654
ENSG00000071889	5.59029	5.22658	3.12185	FAM3A	X	154506159	154516242
ENSG00000072506	6.86396	5.35182	3.97247	HSD17B10	X	53431258	53434373
ENSG00000073464	2.07087	1.72816	1.72923	CLCN4	X	10156945	10237660
